id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1151515542629039150,The pink palace,344656312,Aahlighla,,District 2,32.80581,-96.77577,Entire home/apt,89,1,11,2024-07-28,3.33,1,351,11,
1152021164682215801,Luxury Urban Oasis Minutes to Downtown,487084774,Nicholas,,District 6,32.78437354320704,-96.84567724291398,Entire home/apt,311,1,11,2024-08-10,3.63,2,339,11,
1152075954593072017,Bardo Lofts 311,368552150,Mary,,District 1,32.750977577748465,-96.82348626836976,Entire home/apt,95,1,14,2024-07-30,4.67,3,45,14,
1152270964539527397,Charming and Cozy Getaway,396657575,Nancy,,District 9,32.83093379920938,-96.6817755742728,Entire home/apt,132,5,6,2024-08-01,2.17,1,45,6,
1152351751777089206,Cozy Apartment in Dallas,76438175,Elena,,District 2,32.79670002369798,-96.7729403625656,Entire home/apt,58,30,0,,,1,205,0,
1152495956494049210,Modern Home in Central Dallas,474062421,Binbin,,District 1,32.72116,-96.84247,Entire home/apt,162,2,4,2024-07-26,2.14,3,240,4,
1152522404632499416,Comfortable 1 Bedroom condo,173864381,Home Away,,District 2,32.78545120276556,-96.78149670624592,Entire home/apt,79,1,9,2024-08-01,2.70,5,161,9,
1152880197020004901,Cute Uptown 2 bedroom near Deep Ellum,561871736,Edward Rose,,District 14,32.80794671375558,-96.7601421028342,Entire home/apt,68,3,1,2024-07-16,0.88,7,269,1,
1153554013998506629,Ask about our fall discounts! Sleeps 6,518245644,Demi,,District 2,32.819729253364855,-96.8346536910652,Entire home/apt,110,2,6,2024-08-05,2.00,3,245,6,
1153588682457380880,Modern Skyline Boho Townhome No. 1603,429952199,Kayli,,District 2,32.76949,-96.78844,Entire home/apt,145,1,9,2024-08-04,2.73,39,170,9,
1153618183082711374,Modern City View + Rooftop Home,257704044,Eddie,,District 2,32.76969,-96.7907,Entire home/apt,190,1,0,,,6,258,0,
1153706477900451459,Classic M-Streets Home,5599749,Louwane,,District 14,32.82998665219994,-96.7739974550864,Entire home/apt,194,30,0,,,2,96,0,
1153766393041407323,Galleria Apartment,106049677,Conner,,District 11,32.9425883,-96.8129924,Entire home/apt,104,1,0,,,1,237,0,
1153771968093953477,"Charming 1920s getaway, Walkable to all. Enjoy!",568764252,Nicholas,,District 1,32.749823217768544,-96.84189442545176,Entire home/apt,57,1,10,2024-08-07,3.09,1,245,10,
1154845770913624256,Relaxing 1BR Apartment in Dallas Swimming pool,577100097,Avi,,District 14,32.853161749824245,-96.74827407996538,Entire home/apt,75,4,0,,,6,226,0,
1154852540247214857,Cozy 1 Bedroom Apartment Dallas Swimming pool Wifi,577100097,Avi,,District 11,32.88628,-96.7711,Entire home/apt,75,3,2,2024-08-08,1.20,6,266,2,
1154989078097285134,Dwntwn view|Rooftop deck|Oasis|Pets,470286369,Ashish,,District 6,32.77235,-96.8388,Entire home/apt,153,1,13,2024-08-15,5.06,4,79,13,
1155278759419596854,2 bedroom walk to Bishop Arts,419519764,Lani,,District 1,32.74648,-96.8344,Entire home/apt,135,3,0,,,6,222,0,
1155339070121033225,Casablanca Chic|Central|Pet|Kingbed|TrinityGroves,470286369,Ashish,,District 6,32.785620861705,-96.85470239709751,Entire home/apt,162,1,6,2024-07-28,2.65,4,80,6,
1155354209421235489,Luxury stay in Downtown Dallas!,487557462,Jacob,,District 2,32.79516311078693,-96.77511241984362,Entire home/apt,85,2,20,2024-08-12,6.38,7,127,20,
1155361808005520223,10 minutes to Deep Ellum and Downtown Dallas/Bd #3,475200516,Kh,,District 7,32.770730889966885,-96.72470856201663,Shared room,27,1,4,2024-07-25,1.76,15,269,4,
1155392106191143242,Luxury getaway with rooftop,564736373,Deandre,,District 1,32.74285731010757,-96.8380137571994,Entire home/apt,155,2,6,2024-07-16,1.98,1,77,6,
1155416796178476535,El Estado Paradise #2,570280216,Solomon,,District 12,32.96356,-96.77181,Private room,40,30,1,2024-07-05,0.68,3,194,1,
